√Œ—“; Î‡ÒÒ;d;A;P
√Œ—“ 8727-80*;¬-I;3;0.071;0.052
√Œ—“ 8727-80*;¬-I;4;0.126;0.092
√Œ—“ 8727-80*;¬-I;5;0.196;0.144
√Œ—“ 34028-2016;A-I(A240);6;0.283;0.222
√Œ—“ 34028-2016;A-I(A240);7;0.385;0.302
√Œ—“ 34028-2016;A-I(A240);8;0.503;0.395
√Œ—“ 34028-2016;A-I(A240);10;0.785;0.617
√Œ—“ 34028-2016;A-I(A240);12;1.131;0.888
√Œ—“ 34028-2016;A-I(A240);14;1.539;1.208
√Œ—“ 34028-2016;A-I(A240);16;2.011;1.578
√Œ—“ 34028-2016;A-I(A240);18;2.545;1.998
√Œ—“ 34028-2016;A-I(A240);20;3.142;2.466
√Œ—“ 34028-2016;A-I(A240);22;3.801;2.984
√Œ—“ 34028-2016;A-I(A240);25;4.909;3.84
√Œ—“ 34028-2016;A-I(A240);28;6.158;4.83
√Œ—“ 34028-2016;A-I(A240);32;8.043;6.31
√Œ—“ 34028-2016;A-I(A240);36;10.179;7.99
√Œ—“ 34028-2016;A-I(A240);40;12.566;9.865
√Œ—“ 34028-2016;A-III(A400);6;0.283;0.222
√Œ—“ 34028-2016;A-III(A400);7;0.385;0.302
√Œ—“ 34028-2016;A-III(A400);8;0.503;0.395
√Œ—“ 34028-2016;A-III(A400);10;0.785;0.617
√Œ—“ 34028-2016;A-III(A400);12;1.131;0.888
√Œ—“ 34028-2016;A-III(A400);14;1.539;1.208
√Œ—“ 34028-2016;A-III(A400);16;2.011;1.578
√Œ—“ 34028-2016;A-III(A400);18;2.545;1.998
√Œ—“ 34028-2016;A-III(A400);20;3.142;2.466
√Œ—“ 34028-2016;A-III(A400);22;3.801;2.984
√Œ—“ 34028-2016;A-III(A400);25;4.909;3.84
√Œ—“ 34028-2016;A-III(A400);28;6.158;4.83
√Œ—“ 34028-2016;A-III(A400);32;8.043;6.31
√Œ—“ 34028-2016;A-III(A400);36;10.179;7.99
√Œ—“ 34028-2016;A-III(A400);40;12.566;9.865
√Œ—“ 34028-2016;A500C;4;12.6;0.099
√Œ—“ 34028-2016;A500C;5;19.6;0.154
√Œ—“ 34028-2016;A500C;6;28.3;0.222
√Œ—“ 34028-2016;A500C;8;50.3;0.395
√Œ—“ 34028-2016;A500C;10;78.5;0.616
√Œ—“ 34028-2016;A500C;12;113.1;0.888
√Œ—“ 34028-2016;A500C;14;153.9;1.208
√Œ—“ 34028-2016;A500C;16;201.1;1.578
√Œ—“ 34028-2016;A500C;18;254.5;1.998
√Œ—“ 34028-2016;A500C;20;314.2;2.466
√Œ—“ 34028-2016;A500C;22;380.1;2.984
√Œ—“ 34028-2016;A500C;25;490.9;3.853
√Œ—“ 34028-2016;A500C;28;615.8;4.834
√Œ—“ 34028-2016;A500C;32;804.2;6.313
√Œ—“ 34028-2016;A500C;36;1017.9;7.99
√Œ—“ 34028-2016;A500C;40;1256.6;9.865
√Œ—“ 7348-81 ;¬-II;3;0.071;0.055
√Œ—“ 7348-81 ;¬-II;4;0.126;0.099
√Œ—“ 7348-81 ;¬-II;5;0.196;0.154
√Œ—“ 7348-81 ;¬-II;6;0.283;0.222
√Œ—“ 7348-81;¬-II;7;0.385;0.302
√Œ—“ 7348-81;¬-II;8;0.503;0.395
√Œ—“ 34028-2016;A-IV;10;0.785;0.617
√Œ—“ 34028-2016;A-IV;12;1.131;0.888
√Œ—“ 34028-2016;A-IV;14;1.539;1.208
√Œ—“ 34028-2016;A-IV;16;2.011;1.578
√Œ—“ 34028-2016;A-IV;18;2.545;1.998
√Œ—“ 34028-2016;A-IV;20;3.142;2.466
√Œ—“ 34028-2016;A-IV;22;3.801;2.984
√Œ—“ 34028-2016;A-V;10;0.785;0.617
√Œ—“ 34028-2016;A-V;12;1.131;0.888
√Œ—“ 34028-2016;A-V;14;1.539;1.208
√Œ—“ 34028-2016;A-V;16;2.011;1.578
√Œ—“ 34028-2016;A-V;18;2.545;1.998
√Œ—“ 34028-2016;A-V;20;3.142;2.466
√Œ—“ 34028-2016;A-V;22;3.801;2.984
√Œ—“ 34028-2016;A-V;25;4.909;3.84
√Œ—“ 34028-2016;A-V;28;6.158;4.83
√Œ—“ 34028-2016;A-V;32;8.043;6.31
√Œ—“ 34028-2016;A-II(A300);32;8.043;6.31
√Œ—“ 34028-2016;A-II(A300);36;10.179;7.99
√Œ—“ 34028-2016;A-II(A300);40;12.566;9.865
√Œ—“ 34028-2016;A-II(A300);45;15.904;12.49
√Œ—“ 34028-2016;A-II(A300);50;19.635;15.41
√Œ—“ 34028-2016;A-II(A300);55;23.76;18.65
√Œ—“ 34028-2016;A-II(A300);60;28.27;22.19
√Œ—“ 34028-2016;A-II(A300);70;38.48;30.21
√Œ—“ 34028-2016;A-II(A300);80;50.27;39.46
