#	имя	Вес		D	s
1	10x1	0.222	0.35	10	1
2	10x1.2	0.26	0.42	10	1.2
3	10.2x1	0.227	0.35	10.2	1
4	10.2x1.2	0.266	0.43	10.2	1.2
5	12x1	0.271	0.41	12	1
6	12x1.2	0.32	0.5	12	1.2
7	12x1.4	0.366	0.59	12	1.4
8	12x1.5	0.388	0.64	12	1.5
9	12x1.6	0.41	0.68	12	1.6
10	13x1	0.296	0.44	13	1
11	13x1.2	0.349	0.54	13	1.2
12	13x1.4	0.401	0.63	13	1.4
13	13x1.5	0.425	0.68	13	1.5
14	13x1.6	0.45	0.73	13	1.6
15	14x1	0.321	0.47	14	1
16	14x1.2	0.379	0.57	14	1.2
17	14x1.4	0.435	0.68	14	1.4
18	14x1.5	0.462	0.73	14	1.5
19	14x1.6	0.489	0.78	14	1.6
20	15x1	0.345	0.5	15	1
21	15x1.2	0.408	0.61	15	1.2
22	15x1.4	0.47	0.72	15	1.4
23	15x1.5	0.499	0.78	15	1.5
24	15x1.6	0.529	0.83	15	1.6
25	16x1	0.37	0.53	16	1
26	16x1.2	0.438	0.65	16	1.2
27	16x1.4	0.504	0.77	16	1.4
28	16x1.5	0.536	0.82	16	1.5
29	16x1.6	0.568	0.88	16	1.6
30	17x1	0.395	0.57	17	1
31	17x1.2	0.468	0.69	17	1.2
32	17x1.4	0.539	0.81	17	1.4
33	17x1.5	0.573	0.87	17	1.5
34	17x1.6	0.608	0.93	17	1.6
35	18x1	0.419	0.6	18	1
36	18x1.2	0.497	0.72	18	1.2
37	18x1.4	0.573	0.85	18	1.4
38	18x1.5	0.61	0.92	18	1.5
39	18x1.6	0.719	0.99	18	1.6
40	18x1.8	0.789	1.12	18	1.8
41	19x1	0.444	0.63	19	1
42	19x1.2	0.527	0.76	19	1.2
43	19x1.4	0.608	0.9	19	1.4
44	19x1.5	0.647	0.97	19	1.5
45	19x1.6	0.687	1.04	19	1.6
46	19x1.8	0.764	1.18	19	1.8
47	19x2	0.838	1.32	19	2
48	20x1	0.469	0.66	20	1
49	20x1.2	0.556	0.8	20	1.2
50	20x1.4	0.642	0.94	20	1.4
51	20x1.5	0.684	1.01	20	1.5
52	20x1.6	0.726	1.09	20	1.6
53	20x1.8	0.808	1.23	20	1.8
54	20x2	0.888	1.38	20	2
55	21.3x1	0.501	0.7	21.3	1
56	21.3x1.2	0.595	0.85	21.3	1.2
57	21.3x1.4	0.687	1	21.3	1.4
58	21.3x1.5	0.732	1.07	21.3	1.5
59	21.3x1.6	0.777	1.15	21.3	1.6
60	21.3x1.8	0.866	1.31	21.3	1.8
61	21.3x2	0.952	1.46	21.3	2
62	22x1	0.518	0.72	22	1
63	22x1.2	0.616	0.87	22	1.2
64	22x1.4	0.711	1.03	22	1.4
65	22x1.5	0.758	1.11	22	1.5
66	22x1.6	0.805	1.19	22	1.6
67	22x1.8	0.897	1.35	22	1.8
68	22x2	0.986	1.51	22	2
69	23x1	0.543	0.75	23	1
70	23x1.2	0.645	0.91	23	1.2
71	23x1.4	0.746	1.07	23	1.4
72	23x1.5	0.795	1.15	23	1.5
73	23x1.6	0.844	1.24	23	1.6
74	23x1.8	0.941	1.4	23	1.8
75	23x2	1.04	1.57	23	2
76	23x2.2	1.13	1.74	23	2.2
77	23x2.5	1.26	2	23	2.5
78	24x1	0.567	0.79	24	1
79	24x1.2	0.675	0.95	24	1.2
80	24x1.4	0.78	1.12	24	1.4
81	24x1.5	0.832	1.2	24	1.5
82	24x1.6	0.884	1.29	24	1.6
83	24x1.8	0.985	1.46	24	1.8
84	24x2	1.09	1.63	24	2
85	24x2.2	1.18	1.81	24	2.2
86	24x2.5	1.33	2.08	24	2.5
87	25x1	0.592	0.82	25	1
88	25x1.2	0.704	0.99	25	1.2
89	25x1.4	0.815	1.16	25	1.4
90	25x1.5	0.869	1.25	25	1.5
91	25x1.6	0.923	1.34	25	1.6
92	25x1.8	1.03	1.52	25	1.8
93	25x2	1.13	1.7	25	2
94	25x2.2	1.24	1.88	25	2.2
95	25x2.5	1.39	2.16	25	2.5
96	26x1	0.617	0.85	26	1
97	26x1.2	0.734	1.03	26	1.2
98	26x1.4	0.849	1.21	26	1.4
99	26x1.5	0.906	1.3	26	1.5
100	26x1.6	0.963	1.39	26	1.6
101	26x1.8	1.07	1.57	26	1.8
102	26x2	1.18	1.76	26	2
103	26x2.2	1.29	1.95	26	2.2
104	26x2.5	1.45	2.24	26	2.5
105	27x1	0.641	0.88	27	1
106	27x1.2	0.764	1.06	27	1.2
107	27x1.4	0.884	1.25	27	1.4
108	27x1.5	0.943	1.34	27	1.5
109	27x1.6	1	1.44	27	1.6
110	27x1.8	1.12	1.63	27	1.8
111	27x2	1.23	1.82	27	2
112	27x2.2	1.35	2.02	27	2.2
113	27x2.5	1.51	2.32	27	2.5
114	28x1	0.666	0.91	28	1
115	28x1.2	0.793	1.1	28	1.2
116	28x1.4	0.918	1.29	28	1.4
117	28x1.5	0.98	1.39	28	1.5
118	28x1.6	1.04	1.49	28	1.6
119	28x1.8	1.16	1.69	28	1.8
120	28x2	1.28	1.88	28	2
121	28x2.2	1.4	2.09	28	2.2
122	28x2.5	1.57	2.4	28	2.5
123	30x1	0.715	0.97	30	1
124	30x1.2	0.852	1.18	30	1.2
125	30x1.4	0.987	1.38	30	1.4
126	30x1.5	1.05	1.48	30	1.5
127	30x1.6	1.12	1.59	30	1.6
128	30x1.8	1.25	1.8	30	1.8
129	30x2	1.38	2.01	30	2
130	30x2.2	1.51	2.23	30	2.2
131	30x2.5	1.7	2.55	30	2.5
132	32x1	0.765	1.04	32	1
133	32x1.2	0.911	1.25	32	1.2
134	32x1.4	1.06	1.47	32	1.4
135	32x1.5	1.13	1.58	32	1.5
136	32x1.6	1.2	1.69	32	1.6
137	32x1.8	1.34	1.91	32	1.8
138	32x2	1.48	2.14	32	2
139	32x2.2	1.62	2.36	32	2.2
140	32x2.5	1.82	2.71	32	2.5
