D	s	Вес	имя
10	1	0.222	10x1
10	1.2	0.26	10x1.2
10.2	1	0.227	10.2x1
10.2	1.2	0.266	10.2x1.2
12	1	0.271	12x1
12	1.2	0.32	12x1.2
12	1.4	0.366	12x1.4
12	1.5	0.388	12x1.5
12	1.6	0.41	12x1.6
13	1	0.296	13x1
13	1.2	0.349	13x1.2
13	1.4	0.401	13x1.4
13	1.5	0.425	13x1.5
13	1.6	0.45	13x1.6
14	1	0.321	14x1
14	1.2	0.379	14x1.2
14	1.4	0.435	14x1.4
14	1.5	0.462	14x1.5
14	1.6	0.489	14x1.6
15	1	0.345	15x1
15	1.2	0.408	15x1.2
15	1.4	0.47	15x1.4
15	1.5	0.499	15x1.5
15	1.6	0.529	15x1.6
16	1	0.37	16x1
16	1.2	0.438	16x1.2
16	1.4	0.504	16x1.4
16	1.5	0.536	16x1.5
16	1.6	0.568	16x1.6
17	1	0.395	17x1
17	1.2	0.468	17x1.2
17	1.4	0.539	17x1.4
17	1.5	0.573	17x1.5
17	1.6	0.608	17x1.6
18	1	0.419	18x1
18	1.2	0.497	18x1.2
18	1.4	0.573	18x1.4
18	1.5	0.61	18x1.5
18	1.6	0.719	18x1.6
18	1.8	0.789	18x1.8
19	1	0.444	19x1
19	1.2	0.527	19x1.2
19	1.4	0.608	19x1.4
19	1.5	0.647	19x1.5
19	1.6	0.687	19x1.6
19	1.8	0.764	19x1.8
19	2	0.838	19x2
20	1	0.469	20x1
20	1.2	0.556	20x1.2
20	1.4	0.642	20x1.4
20	1.5	0.684	20x1.5
20	1.6	0.726	20x1.6
20	1.8	0.808	20x1.8
20	2	0.888	20x2
21.3	1	0.501	21.3x1
21.3	1.2	0.595	21.3x1.2
21.3	1.4	0.687	21.3x1.4
21.3	1.5	0.732	21.3x1.5
21.3	1.6	0.777	21.3x1.6
21.3	1.8	0.866	21.3x1.8
21.3	2	0.952	21.3x2
22	1	0.518	22x1
22	1.2	0.616	22x1.2
22	1.4	0.711	22x1.4
22	1.5	0.758	22x1.5
