ƒ”	l	¬ÂÒ		ƒÕ	ƒ4	ƒ3
50	200	5.6	“Ã 89.00-00	57	89	114
80	200	6.9	“Ã 89.00-01	89	115	140
100	200	8.2	“Ã 89.00-02	108	140	165
125	200	14	“Ã 89.00-03	133	191	219
150	200	20.3	“Ã 89.00-04	159	239	245
200	200	16	“Ã 89.00-05	219	239	273
250	200	18.8	“Ã 89.00-06	213	291	325
300	200	34.4	“Ã 89.00-07	325	382	426
350	200	42.7	“Ã 89.00-08	377	430	478
400	200	45.8	“Ã 89.00-09	426	484	530
500	200	57	“Ã 89.00-10	530	584	630
600	200	64.9	“Ã 89.00-11	630	672	720
700	200	78.5	“Ã 89.00-12	720	772	820
800	200	89.3	“Ã 89.00-13	820	872	920
900	200	98.6	“Ã 89.00-14	920	972	1020
1000	200	113.7	“Ã 89.00-15	1020	1070	1120
1200	200	135	“Ã 89.00-16	1220	1270	1320
1400	200	155.5	“Ã 89.00-17	1420	1470	1520
50	300	7	“Ã 90.00-00	57	89	114
80	300	8.7	“Ã 90.00-01	89	115	140
100	300	10.4	“Ã 90.00-02	108	140	165
125	300	17.9	“Ã 90.00-03	133	191	219
150	300	25.5	“Ã 90.00-04	159	239	273
200	300	20.6	“Ã 90.00-05	219	239	273
250	300	24.1	“Ã 90.00-06	213	291	325
300	300	42.5	“Ã 90.00-07	325	382	426
350	300	54.1	“Ã 90.00-08	377	430	478
400	300	57.3	“Ã 90.00-09	426	484	530
500	300	70.9	“Ã 90.00-10	530	584	630
600	300	82.1	“Ã 90.00-11	630	672	720
700	300	98.9	“Ã 90.00-12	720	772	820
800	300	112.3	“Ã 90.00-13	820	872	920
900	300	124.1	“Ã 90.00-14	920	972	1020
1000	300	144.5	“Ã 90.00-15	1020	1070	1120
1200	300	171.3	“Ã 90.00-16	1220	1270	1320
1400	300	198.1	“Ã 90.00-17	1420	1470	1520
50	500	9.4	“Ã 91.00-00	57	89	114
80	500	11.6	“Ã 91.00-01	89	115	140
100	500	13.9	“Ã 91.00-02	108	140	165
125	500	24.1	“Ã 91.00-03	133	191	219
150	500	33.3	“Ã 91.00-04	159	239	273
200	500	28.6	“Ã 91.00-05	219	239	273
250	500	33.9	“Ã 91.00-06	213	291	325
300	500	55.9	“Ã 91.00-07	325	382	426
350	500	73.8	“Ã 91.00-08	377	430	478
400	500	76.5	“Ã 91.00-09	426	484	530
500	500	94	“Ã 91.00-10	530	584	630
600	500	112.2	“Ã 91.00-11	630	672	720
700	500	133	“Ã 91.00-12	720	772	820
800	500	150.6	“Ã 91.00-13	820	872	920
900	500	166.1	“Ã 91.00-14	920	972	1020
1000	500	196.4	“Ã 91.00-15	1020	1070	1120
1200	500	232.7	“Ã 91.00-16	1220	1270	1320
1400	500	268	“Ã 91.00-17	1420	1470	1520
50	800	13	“Ã 92.00-00	57	89	114
80	800	16.1	“Ã 92.00-01	89	115	140
100	800	19.3	“Ã 92.00-02	108	140	165
125	800	33.6	“Ã 92.00-03	133	191	219
150	800	45.2	“Ã 92.00-04	159	239	273
200	800	40.5	“Ã 92.00-05	219	239	273
250	800	48.1	“Ã 92.00-06	213	291	325
300	800	74.5	“Ã 92.00-07	325	382	426
350	800	101.6	“Ã 92.00-08	377	430	478
400	800	103.5	“Ã 92.00-09	426	484	530
500	800	126.2	“Ã 92.00-10	530	584	630
600	800	154.4	“Ã 92.00-11	630	672	720
700	800	180.9	“Ã 92.00-12	720	772	820
800	800	204.6	“Ã 92.00-13	820	872	920
900	800	226.1	“Ã 92.00-14	920	972	1020
1000	800	270.4	“Ã 92.00-15	1020	1070	1120
1200	800	319.7	“Ã 92.00-16	1220	1270	1320
1400	500	369	“Ã 92.00-17	1420	1470	1520
