ƒ”	l	¬ÂÒ		ƒÕ	ƒ2	ƒ5
50	200	8	“Ã 93.00.00-00	57	170	87
80	200	10.5	“Ã 93.00.00-01	89	200	119
100	200	11.5	“Ã 93.00.00-02	108	220	138
125	200	15	“Ã 93.00.00-03	133	260	162
150	200	17.5	“Ã 93.00.00-04	159	290	188
200	200	21	“Ã 93.00.00-05	219	345	246
250	200	29	“Ã 93.00.00-06	213	400	306
300	200	33	“Ã 93.00.00-07	325	450	358
350	200	38.5	“Ã 93.00.00-08	377	505	410
400	200	49	“Ã 93.00.00-09	426	555	458
500	200	70.5	“Ã 93.00.00-10	530	690	572
600	200	82.5	“Ã 93.00.00-11	630	790	572
700	200	93	“Ã 93.00.00-12	720	880	762
800	200	142	“Ã 93.00.00-13	820	1000	862
900	200	158	“Ã 93.00.00-14	920	1100	962
1000	200	193	“Ã 93.00.00-15	1020	1200	1062
1200	200	229	“Ã 93.00.00-16	1220	1400	1252
1400	200	263	“Ã 93.00.00-17	1420	1600	1462
50	300	8.8	“Ã 94.00.00-00	57	170	87
80	300	11.5	“Ã 94.00.00-01	89	200	119
100	300	13	“Ã 94.00.00-02	108	220	138
125	300	16.5	“Ã 94.00.00-03	133	260	162
150	300	19.5	“Ã 94.00.00-04	159	290	188
200	300	24	“Ã 94.00.00-05	219	345	246
250	300	33.5	“Ã 94.00.00-06	213	400	306
300	300	38.5	“Ã 94.00.00-07	325	450	358
350	300	45	“Ã 94.00.00-08	377	505	410
400	300	55	“Ã 94.00.00-09	426	555	458
500	300	79	“Ã 94.00.00-10	530	690	572
600	300	92	“Ã 94.00.00-11	630	790	572
700	300	105	“Ã 94.00.00-12	720	880	762
800	300	158	“Ã 94.00.00-13	820	1000	862
900	300	177	“Ã 94.00.00-14	920	1100	962
1000	300	213	“Ã 94.00.00-15	1020	1200	1062
1200	300	252	“Ã 94.00.00-16	1220	1400	1252
1400	300	291	“Ã 94.00.00-17	1420	1600	1462
50	500	11	“Ã 95.00.00-00	57	170	87
80	500	14	“Ã 95.00.00-01	89	200	119
100	500	16	“Ã 95.00.00-02	108	220	138
125	500	20	“Ã 95.00.00-03	133	260	162
150	500	23	“Ã 95.00.00-04	159	290	188
200	500	28.5	“Ã 95.00.00-05	219	345	246
250	500	43	“Ã 95.00.00-06	213	400	306
300	500	49.5	“Ã 95.00.00-07	325	450	358
350	500	57.5	“Ã 95.00.00-08	377	505	410
400	500	70	“Ã 95.00.00-09	426	555	458
500	500	96	“Ã 95.00.00-10	530	690	572
600	500	113	“Ã 95.00.00-11	630	790	572
700	500	127	“Ã 95.00.00-12	720	880	762
800	500	193	“Ã 95.00.00-13	820	1000	862
900	500	215	“Ã 95.00.00-14	920	1100	962
1000	500	256	“Ã 95.00.00-15	1020	1200	1062
1200	500	303	“Ã 95.00.00-16	1220	1400	1252
1400	500	350	“Ã 95.00.00-17	1420	1600	1462
