ГОСТ 8568-77;Лист с рифлением;Лист
ГОСТ 8509-93;Уголок равнополочный;Уголок
ГОСТ 10704-91;Труба электросварная прямошовная;Труба
ГОСТ 54157-2010;Труба профильная;Труба
ГОСТ 30245-2012;Профиль гнутый;Гн. труба
ГОСТ 30245-94;Профиль гнутый;Гн. труба
ГОСТ 8639-82;Труба квадратная;Кв. труба
ГОСТ 8240-97;Швеллер горячекатанный;Швеллер
СТО АСЧМ 20-93;Двутавр;Двутавр
ГОСТ 8510-86;Уголок неравнополочный;Уголок
ГОСТ 8278-87;Швеллер гнутый;Гн. швеллер
ГОСТ 19903-74;Лист горячекатанный;Лист
ГОСТ 19903-2015;Лист горячекатанный;Лист
СТО 23083253-003-2008;;
ГОСТ 19771-93;Уголок гнутый равнополочный;Гн. уголок
ГОСТ 19772-93;Уголок гнутый неравнополочный;Гн. уголок
ГОСТ 19904-90;Лист оцинкованный;Лист оцинкованный
ГОСТ 8645-68;Труба стальная прямоугольная;Пр. труба
ГОСТ 2590-2006;Прокат горячекатаный круглый;Кругл.
ГОСТ 2591-2006;Прокат горячекатаный квадратный;Кв.
ГОСТ 103-2006;Прокат горячекатаный полосовой;Полоса
ГОСТ Р 57837-2017;Двутавры стальной горячекатаный с параллельными гранями полок;Двутавр
ГОСТ 19425-74;Балки двутавровые и швеллеры стальные специальные;
