5,00	0,30	0,54
5,20	0,29	0,52
5,40	0,28	0,50
5,60	0,27	0,49
5,80	0,26	0,47
6,00	0,25	0,45
6,20	0,24	0,43
6,40	0,23	0,41
6,60	0,22	0,40
6,80	0,21	0,38
7,00	0,20	0,36
7,20	0,19	0,34
7,40	За пределами табличных значений	За пределами табличных значений
7,60	За пределами табличных значений	За пределами табличных значений
7,80	За пределами табличных значений	За пределами табличных значений
8,00	За пределами табличных значений	За пределами табличных значений
8,20	За пределами табличных значений	За пределами табличных значений
8,40	За пределами табличных значений	За пределами табличных значений
8,60	За пределами табличных значений	За пределами табличных значений
8,80	За пределами табличных значений	За пределами табличных значений
9,00	За пределами табличных значений	За пределами табличных значений
9,20	За пределами табличных значений	За пределами табличных значений
9,40	За пределами табличных значений	За пределами табличных значений
9,60	За пределами табличных значений	За пределами табличных значений
9,80	За пределами табличных значений	За пределами табличных значений
10,00	За пределами табличных значений	За пределами табличных значений
10,20	За пределами табличных значений	За пределами табличных значений
10,40	За пределами табличных значений	За пределами табличных значений
10,60	За пределами табличных значений	За пределами табличных значений
10,80	За пределами табличных значений	За пределами табличных значений
11,00	За пределами табличных значений	За пределами табличных значений
11,20	За пределами табличных значений	За пределами табличных значений
11,40	За пределами табличных значений	За пределами табличных значений
11,60	За пределами табличных значений	За пределами табличных значений
11,80	За пределами табличных значений	За пределами табличных значений
12,00	За пределами табличных значений	За пределами табличных значений
15,00	За пределами табличных значений	За пределами табличных значений
16,00	За пределами табличных значений	За пределами табличных значений
17,00	За пределами табличных значений	За пределами табличных значений
20,00	За пределами табличных значений	За пределами табличных значений
22,00	За пределами табличных значений	За пределами табличных значений
24,00	За пределами табличных значений	За пределами табличных значений
26,00	За пределами табличных значений	За пределами табличных значений
28,00	За пределами табличных значений	За пределами табличных значений
30,00	За пределами табличных значений	За пределами табличных значений
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
