		P	A	h	b	s	t	r1	r1	d	Iy	Wy	Sy	iy	Iz	Wz	iz
1	10Б1	8.1	10.32	100	55	4.1	5.7	7	7	74.6	171	34.2	19.7	40.7	15.9	5.8	12.4
2	12Б1	8.7	11.03	117.6	64	3.8	5.1	7	7	93.4	257	43.8	24.9	48.3	22.4	7	14.2
3	12Б2	10.4	13.21	120	64	4.4	6.3	7	7	93.4	318	53	30.4	49	27.7	8.6	14.5
4	14Б1	10.5	13.39	137.4	73	3.8	5.6	7	7	112.2	435	63.3	35.8	57	36.4	10	16.5
5	14Б2	12.9	16.43	140	73	4.7	6.9	7	7	112.2	541	77.3	44.2	57.4	44.9	12.3	16.5
6	16Б1	12.7	16.18	157	82	4	5.9	9	9	127.2	689	87.8	49.5	65.3	54.4	13.3	18.3
7	16Б2	15.8	20.09	160	82	5	7.4	9	9	127.2	869	108.7	61.9	65.8	68.3	16.6	18.4
8	18Б1	15.4	19.58	177	91	4.3	6.5	9	9	146	1063	120.1	67.7	73.7	81.9	18	20.4
9	18Б2	18.8	23.95	180	91	5.3	8	9	9	146	1317	146.3	83.2	74.1	100.8	22.2	20.5
10	20Б1	22.4	28.49	200	100	5.6	8.5	12	12	159	1943	194.3	110.3	82.6	142.3	28.5	22.3
11	23Б1	25.8	32.91	230	110	5.6	9	12	12	188	2996	260.5	147.2	95.4	200.3	36.4	24.7
12	26Б1	28	35.62	258	120	5.8	8.5	12	12	217	4024	312	176.6	106.3	245.6	40.9	26.3
13	26Б2	31.2	39.7	261	120	6	10	12	12	217	4654	356.6	201.5	108.3	288.8	48.1	27
14	30Б1	32.9	41.92	296	140	5.8	8.5	15	15	249	6328	427	240	122.9	390	55.7	30.5
15	30Б2	36.6	46.67	299	140	6	10	15	15	249	7293	487.8	273.8	125	458.6	65.5	31.3
16	35Б1	38.9	49.53	346	155	6.2	8.5	18	18	293	10060	581.7	328.6	142.5	529.6	68.3	32.7
17	35Б2	43.3	55.17	349	155	6.5	10	18	18	293	11550.001	662.2	373	144.7	622.9	80.4	33.6
18	40Б1	48.1	61.25	392	165	7	9.5	21	21	331	15750.001	803.6	456	160.3	714.9	86.7	34.2
19	40Б2	54.7	69.72	396	165	7.5	11.5	21	21	331	18530	935.7	529.7	163	865	104.8	35.2
20	45Б1	59.8	76.23	443	180	7.8	11	21	21	379	24940.002	1125.8	639.5	180.9	1073.7	119.3	37.5
21	45Б2	67.5	85.96	447	180	8.4	13	21	21	379	28870.002	1291.9	732.9	183.2	1269	141	38.4
22	50Б1	73	92.98	492	200	8.8	12	21	21	426	37160	1511	860.4	199.9	1606	160.6	41.6
23	50Б2	80.7	102.8	496	200	9.2	14	21	21	426	42390.004	1709	970.2	203	1873	187.3	42.7
24	55Б1	89	113.37	543	220	9.5	13.5	24	24	468	55680.004	2051	1165	221.6	2404	218.6	46.1
25	55Б2	97.9	124.75	547	220	10	15.5	24	24	468	62790.008	2296	1302	224.3	2760	250.9	47
26	60Б1	106.2	135.26	593	230	10.5	15.5	24	24	514	78760	2656	1512	241.3	3154	274.3	48.3
27	60Б2	115.6	147.3	597	230	11	17.5	24	24	514	87640.008	2936	1669	243.9	3561	309.6	49.2
28	70Б1	129.3	164.7	691	260	12	15.5	24	24	612	125930.016	3645	2095	276.5	4556	350.5	52.6
29	70Б2	144.2	183.6	697	260	12.5	18.5	24	24	612	145912	4187	2393	281.9	5437	418.2	54.4
30	80Б1	159.5	203.2	791	280	13.5	17	26	26	705	199500.016	5044	2917	313.3	6244	446	55.4
31	80Б2	177.9	226.6	798	280	14	20.5	26	26	705	232200	5820	3343	320.1	7527	537.6	57.6
32	90Б1	194	247.1	893	300	15	18.5	30	30	796	304400	6817	3964	350.9	8365	557.6	58.2
33	90Б2	213.8	272.4	900	300	15.5	22	30	30	796	349200.031	7760	4480	358	9943	662.8	60.4
34	100Б1	230.6	293.82	990	320	16	21	30	30	888	446000	9011	5234	389.6	11520.001	719.9	62.6
35	100Б2	258.2	328.9	998	320	17	25	30	30	888	516400.063	10350.001	5980	396.2	13710.001	856.9	64.6
36	100Б3	285.7	364	1006	320	18	29	30	30	888	587700	11680.001	6736	401.8	15900.001	993.9	66.1
37	100Б4	314.5	400.6	1013	320	19.5	32.5	30	30	888	655400	12940.001	7470	404.5	17830	1114.3	66.7
