#	0		A	h	b	s	t	r1	r1	d	Iy	Wy	Sy	iy	Iz	Wz	iz
1	13С1	24.74	31.52	126.5	114	9	9	12	4.5	84.5	838,380	132,550	76,710	51,570	223,590	39,230	26.63
2	20С1	56.2	71.53	200	204	12	12	13	6	150	4982,300	498,200	282,750	83,460	1701,700	166,830	48.77
3	25С1	64.4	82.06	244	252	11	11	16	5.5	190	8786,780	720,200	402,510	103,480	2938,350	233,200	59.84
4	25С2	82.2	104.68	250	255	14	14	16	7	190	11483,651	918,700	519,310	104,740	3876,720	304,060	60.86
5	30С1	84.5	107.66	294	302	12	12	18	6	234	16864,199	1147,200	638,550	125,160	5515,720	365,280	71.58
6	30С2	105.8	134.78	300	305	15	15	18	7.5	234	21535,213	1435,700	806,840	126,400	7104,760	465,890	72.6
7	32С1	180	229.28	326.7	319.7	24.8	24.8	15.2	12.4	246.7	40972,832	2508,300	1448,250	133,680	13546,380	847,440	76.87
8	32С2	222.9	283.97	337.9	325.7	30.3	30.4	15.2	15.2	246.7	52698,773	3119,200	1826,550	136,230	17576,762	1079,320	78.67
9	35С1	106.2	135.25	338	351	13	13	20	6.5	272	28190,340	1668,100	925,690	144,370	9379,761	534,460	83.28
10	35С2	130.8	166.63	344	354	16	16	20	8	272	35330,383	2054,100	1149,600	145,610	11846,300	669,280	84.32
11	35С3	155.7	198.37	350	357	19	19	20	9.5	272	42796,145	2445,500	1379,790	146,880	14433,121	808,580	85.3
12	40С1	140.1	178.45	388	402	15	15	22	7.5	314	48965,172	2524,000	1401,070	165,650	16258,382	808,870	95.45
13	40С2	168.3	214.39	394	405	18	18	22	9	314	59713,156	3031,100	1695,050	166,890	19955,191	985,440	96.48
14	40С3	196.8	250.69	400	408	21	21	22	10.5	314	70888,078	3544,400	1996,230	168,160	23809,270	1167,120	97.45
