А	Тип	h	B1	t 	В 	b 	b1	b2	b3	b4	b5	b6	h1, не менее	h2	R, не более 	s 	Площадь	Масса
для несущих настилов покрытий	Н57-750-0,6	57	750	0.6	801	94.5	44	42	20	93	46.5	18	10	7	4	187.5	6.6	5.6
для несущих настилов покрытий	Н57-750-0,7	57	750	0.7	801	94.5	44	42	20	93	46.5	18	10	7	4	187.5	7.7	6.5
для несущих настилов покрытий	Н57-750-0,8	57	750	0.8	801	94.5	44	42	20	93	46.5	18	10	7	4	187.5	8.8	7.4
для несущих настилов покрытий	Н60-845-0,7	60	845	0.7	902	89.5	50	47	22	122	61	16	14	5	3.5	211.2	8.8	7.4
для несущих настилов покрытий	Н60-845-0,8	60	845	0.8	902	89.5	50	47	22	122	61	16	14	5	3.5	211.2	10	8.4
для несущих настилов покрытий	Н60-845-0,9	60	845	0.9	902	89.5	50	47	22	122	61	16	14	5	3.5	211.2	11.3	9.3
для несущих настилов покрытий	Н75-750-0,7	75	750	0.7	800	95.5	50	48	23	92	46	18	6	7	4	187.5	8.8	7.4
для несущих настилов покрытий	Н75-750-0,8	75	750	0.8	800	95.5	50	48	23	92	46	18	6	7	4	187.5	10	8.4
для несущих настилов покрытий	Н75-750-0,9	75	750	0.9	800	95.5	50	48	23	92	46	18	6	7	4	187.5	11.3	9.3
для несущих настилов покрытий	Н114-600-0,8	114	600	0.8	646	96	60	45	16	104	52	18	7	7	5	200	10	8.4
для несущих настилов покрытий	Н114-600-0,9	114	600	0.9	646	96	60	45	16	104	52	18	7	7	5	200	11.3	9.3
для несущих настилов покрытий	Н114-600-1,0	114	600	1	646	96	60	45	16	104	52	18	7	7	5	200	12.5	10.3
для несущих настилов покрытий	Н114-750-0,8 	114	750	0.8	807	124	80	55	16	126	42	18	7	7	5	250	11.2	9.4
для несущих настилов покрытий	Н114-750-0,9	114	750	0.9	807	124	80	55	16	126	42	18	7	7	5	250	12.6	10.5
для несущих настилов покрытий	Н114-750-1,0	114	750	1	807	124	80	55	16	126	42	18	7	7	5	250	14	11.7
для несущих настилов покрытий	Н153-850-0,8	153	852	0.8	852	164	43	21.5	16	120	60	29	7	5	3	284	12	9.8
для несущих настилов покрытий	Н153-850-1,0	153	852	1	852	164	43	21.5	16	120	60	29	7	5	3	284	15.5	12.2
для несущих настилов покрытий	Н153-850-1,2	153	852	1.2	852	164	43	21.5	16	120	60	29	7	5	3	284	18	14.5
для несущих настилов покрытий	Н153-850-1,5	153	852	1.5	852	164	43	21.5	16	120	60	29	7	5	3	284	22.5	18.1
для настилов и стеновых ограждений	НС35-1000-0,6	35	1000	0.6	1060	130	70	50	16	70	35	18	7	7	4	200	7.5	6.4
для настилов и стеновых ограждений	НС35-1000-0,7	35	1000	0.7	1060	130	70	50	16	70	35	18	7	7	4	200	8.75	7.4
для настилов и стеновых ограждений	НС35-1000-0,8	35	1000	0.8	1060	130	70	50	16	70	35	18	7	7	4	200	10	8.4
для настилов и стеновых ограждений	НС44-1000-0,7	44	1000	0.7	1052	92	66	48	16	108	54	18	10	7	4	200	9.8	8.3
для настилов и стеновых ограждений	НС44-1000-0,8	44	1000	0.8	1052	92	66	48	16	108	54	18	10	7	4	200	11.2	9.4
для стеновых ограждений	С10-899-0,6	10	899	0.6	918	80	70	18	9	20	10	18	5	7	3.5	100	6	5.1
для стеновых ограждений	С10-899-0,7	10	899	0.7	918	80	70	18	9	20	10	18	5	7	3.5	100	7	5.9
для стеновых ограждений	C10-1000-0,6 	10	1000	0.6	1022	80	70	18	9	20	10	18	5	7	3.5	100	6.6	5.6
для стеновых ограждений	C10-1000-0,7 	10	1000	0.7	1022	80	70	18	9	20	10	18	5	7	3.5	100	7.7	6.5
для стеновых ограждений	C18-1000-0,6	18	1000	0.6	1023	80	72	20	10	20	10	18	5	7	5	100	7.5	6.4
для стеновых ограждений	C18-1000-0,7	18	1000	0.7	1023	80	72	20	10	20	10	18	5	7	5	100	8.8	7.4
для стеновых ограждений	С15-800-0,6	15	800	0.6	940	80	72	18	9	20	10	18	10	7	3.5	100	6.6	5.6
для стеновых ограждений	С15-800-0,7	15	800	0.7	940	80	72	18	9	20	10	18	10	7	3.5	100	7.7	6.55
для стеновых ограждений	С15-1000-0,6	15	1000	0.6	1018	80	72	20	10	20	10	18	10	7	3.5	100	7.5	6.4
для стеновых ограждений	С15-1000-0,7	15	1000	0.7	1018	80	72	20	10	20	10	18	10	7	3.5	100	8.7	7.4
для стеновых ограждений	С21-1000-0,6 	21	1000	0.6	1051	65	35	33	15.5	79	39.5	18	6	7	5	100	7.5	6.4
для стеновых ограждений	С21-1000-0,7 	21	1000	0.7	1051	65	35	33	15.5	79	39.5	18	6	7	5	100	8.75	7.4
для стеновых ограждений	С44-1000-0,7 	44	1000	0.7	1047	100	35	33	15.5	179	89.5	18	6	7	10	200	8.8	7.4
