#		P	A	h	b	s	r1	Iy	Wy	iy	Iz	Wz	iz
1	40x2	2.31	2.94	40	40	2	4	6.94	3.47	15.4	6.94	3.47	15.4
2	40x2.5	2.82	3.59	40	40	2.5	5	8.21	4.1	15.1	8.21	4.1	15.1
3	40x3	3.3	4.21	40	40	3	6	9.31	4.65	14.9	9.31	4.65	14.9
4	40x3.5	3.76	4.79	40	40	3.5	7	10.26	5.13	14.6	10.26	5.13	14.6
5	40x4	4.2	5.35	40	40	4	8	11.05	5.52	14.4	11.05	5.52	14.4
6	50x2	2.93	3.74	50	50	2	4	14.14	5.66	19.5	14.14	5.66	19.5
7	50x2.5	3.6	4.59	50	50	2.5	5	16.93	6.77	19.2	16.93	6.77	19.2
8	50x3	4.25	5.41	50	50	3	6	19.45	7.78	19	19.45	7.78	19
9	50x3.5	4.86	6.19	50	50	3.5	7	21.7	8.68	18.7	21.7	8.68	18.7
10	50x4	5.45	6.95	50	50	4	8	23.7	9.48	18.5	23.7	9.48	18.5
11	50x4.5	6.02	7.67	50	50	4.5	9	25.45	10.19	18.2	25.45	10.19	18.2
12	50x5	6.56	8.36	50	50	5	10	26.98	10.79	18	26.98	10.79	18
13	50x5.5	7.07	9.01	50	50	5.5	11	28.27	11.31	17.7	28.27	11.31	17.7
14	50x6	7.56	9.63	50	50	6	12	29.36	11.74	17.5	29.36	11.74	17.5
15	60x2	3.56	4.54	60	60	2	4	25.14	8.38	23.5	25.14	8.38	23.5
16	60x2.5	4.39	5.59	60	60	2.5	5	30.33	10.11	23.3	30.33	10.11	23.3
17	60x3	5.19	6.61	60	60	3	6	35.11	11.7	23.1	35.11	11.7	23.1
18	60x3.5	5.96	7.59	60	60	3.5	7	39.5	13.17	22.8	39.5	13.17	22.8
19	60x4	6.71	8.55	60	60	4	8	43.5	14.5	22.6	43.5	14.5	22.6
20	60x4.5	7.43	9.47	60	60	4.5	9	47.14	15.71	22.3	47.14	15.71	22.3
21	60x5	8.13	10.36	60	60	5	10	50.41	16.8	22.1	50.41	16.8	22.1
22	60x5.5	8.8	11.21	60	60	5.5	11	53.34	17.78	21.8	53.34	17.78	21.8
23	60x6	9.45	12.03	60	60	6	12	55.94	18.65	21.6	55.94	18.65	21.6
24	70x2	4.19	5.34	70	70	2	4	40.72	11.63	27.6	40.72	11.63	27.6
25	70x2.5	5.17	6.59	70	70	2.5	5	49.39	14.11	27.4	49.39	14.11	27.4
