#		P	A	b	b	t	r1	r2	yo	zo	Iy	Wy	iy	Iz	Wz	iz
1	L32x25x2	0.84	1.06	32	25	2	3	0.1	6.4	10	1.12	24.64	10.2	0.61	11.35	7.6
2	L32x25x2.5	1.03	1.32	32	25	2.5	3	0.1	6.6	10.2	1.35	29.43	10.1	0.73	13.44	7.5
3	L50x35x3.2	1.98	2.53	50	35	3.2	5	0.1	8.7	16.5	6.52	218.42	16.1	2.72	71.54	10.4
4	L60x40x3	2.23	2.84	60	40	3	4	0.1	9.3	19.6	10.73	433.5	19.4	3.97	121.88	11.8
5	L70x50x4	3.53	4.5	70	50	4	6	0.1	12.3	22.6	22.9	1085.46	22.5	10.04	378.51	14.9
6	L80x63x4	4.26	5.42	80	63	4	6	0.1	15.7	24.5	35.95	1995.23	25.7	20.06	948.84	19.2
7	L85x35x4	3.53	4.5	85	35	4	6	0.1	6.9	32.6	34.02	1782.65	27.5	3.77	105.94	9.2
8	L90x70x4	4.79	6.1	90	70	4	6	0.1	17.2	27.4	51.53	3225.78	29	27.92	1474.18	21.4
9	L100x65x4	4.95	6.3	100	65	4	6	0.1	14.6	32.5	66.91	4516.43	32.6	23.36	1177.35	19.3
10	L105x100x3	4.96	5.98	105	100	3	4	0.1	25.9	28.4	67.66	5182.76	33.6	60.12	4454.9	31.7
11	L115x65x5	6.71	8.55	115	65	5	7	0.1	13.9	39.5	120.07	9065.29	37.5	29.6	1512.56	18.6
12	L120x100x8	12.88	16.41	120	100	8	12	0.1	17.5	43	239.47	18439.19	38.2	153.18	12637.35	30.5
13	L180x140x6	14.55	18.53	180	140	6	9	0.1	33.4	53.7	632.17	79843.08	58.4	343.25	36590.45	43
