#	0		А	h	b	s	t	r1	r1	d	у	Iy	Wy	iy	Iz	Wz	iz
1	5П	4.84	6.16	50	32	4.4	7	6	3.5	24	12.1	22.8	9.1	19.2	5.95	2.99	9.8
2	6.5П	5.9	7.51	65	36	4.4	7.2	6	3.5	38.6	12.9	48.8	15	25.5	9.35	4.06	11.2
3	8П	7.05	8.98	80	40	4.5	7.4	6.5	3.5	52.2	13.8	89.9	22.5	31.6	13.9	3.31	12.4
4	10П	8.59	10.9	100	46	4.5	7.6	7	4	70.8	15.3	175	34.9	39.9	22.6	7.37	14.4
5	12П	10.4	13.3	120	52	4.8	7.8	7.5	4.5	89.4	16.6	305	50.8	47.9	34.9	9.84	16.2
6	14П	12.3	15.6	140	58	4.9	8.1	8	4.5	107.8	18.2	493	70.4	56.1	51.5	12.9	18.1
7	16П	14.2	18.1	160	64	5	8.4	8.5	5	126.2	19.7	750	93.8	64.4	72.8	16.4	20
8	16aП	15.3	19.5	160	68	5	9	8.5	5	125	21.9	827	103	65.1	90.5	19.6	21.5
9	18П	16.3	20.7	180	70	5.1	8.7	9	5	144.6	21.4	1090	121	72.6	100	20.6	22
10	18aП	17.4	22.2	180	74	5.1	9.3	9	5	143.4	23.6	1200	133	73.4	123	24.3	23.5
11	20П	18.4	23.4	200	76	5.2	9	9.5	5.5	163	23	1530	153	80.8	134	25.2	23.9
12	22П	21	26.7	220	82	5.4	9.5	10	6	181	24.7	2120	193	89	178	31	25.8
13	24П	24	30.6	240	90	5.6	10	10.5	6	199	27.2	2910	243	97.5	248	39.5	28.5
14	27П	27.7	35.2	270	95	6	10.5	11	6.5	227	27.8	4180	310	109	314	46.7	29.9
15	30П	31.8	40.5	300	100	6.5	11	12	7	254	28.3	5830	389	120	393	54.8	31.2
16	33П	36.5	46.5	330	105	7	11.7	13	7.5	280.6	29	8010.8	486	131	491	64.6	32.5
17	36П	41.9	53.4	360	110	7.5	12.6	14	8.5	306.8	29.9	10850.001	603	143	611	76.3	33.8
18	40П	48.3	61.5	400	115	8	13.5	15	9	343	30.5	15260.001	763	158	760	89.9	35.1
