ДУ	l	Вес		ДН	Д4	Д3
50	200	5.6	ТМ 89.00-00	57	89	114
80	200	6.9	ТМ 89.00-01	89	115	140
100	200	8.2	ТМ 89.00-02	108	140	165
125	200	14	ТМ 89.00-03	133	191	219
150	200	20.3	ТМ 89.00-04	159	239	245
200	200	16	ТМ 89.00-05	219	239	273
250	200	18.8	ТМ 89.00-06	213	291	325
300	200	34.4	ТМ 89.00-07	325	382	426
350	200	42.7	ТМ 89.00-08	377	430	478
400	200	45.8	ТМ 89.00-09	426	484	530
500	200	57	ТМ 89.00-10	530	584	630
600	200	64.9	ТМ 89.00-11	630	672	720
700	200	78.5	ТМ 89.00-12	720	772	820
800	200	89.3	ТМ 89.00-13	820	872	920
900	200	98.6	ТМ 89.00-14	920	972	1020
1000	200	113.7	ТМ 89.00-15	1020	1070	1120
1200	200	135	ТМ 89.00-16	1220	1270	1320
1400	200	155.5	ТМ 89.00-17	1420	1470	1520
50	300	7	ТМ 90.00-00	57	89	114
80	300	8.7	ТМ 90.00-01	89	115	140
100	300	10.4	ТМ 90.00-02	108	140	165
125	300	17.9	ТМ 90.00-03	133	191	219
150	300	25.5	ТМ 90.00-04	159	239	273
200	300	20.6	ТМ 90.00-05	219	239	273
250	300	24.1	ТМ 90.00-06	213	291	325
300	300	42.5	ТМ 90.00-07	325	382	426
350	300	54.1	ТМ 90.00-08	377	430	478
400	300	57.3	ТМ 90.00-09	426	484	530
500	300	70.9	ТМ 90.00-10	530	584	630
600	300	82.1	ТМ 90.00-11	630	672	720
700	300	98.9	ТМ 90.00-12	720	772	820
800	300	112.3	ТМ 90.00-13	820	872	920
900	300	124.1	ТМ 90.00-14	920	972	1020
1000	300	144.5	ТМ 90.00-15	1020	1070	1120
1200	300	171.3	ТМ 90.00-16	1220	1270	1320
1400	300	198.1	ТМ 90.00-17	1420	1470	1520
50	500	9.4	ТМ 91.00-00	57	89	114
80	500	11.6	ТМ 91.00-01	89	115	140
100	500	13.9	ТМ 91.00-02	108	140	165
125	500	24.1	ТМ 91.00-03	133	191	219
150	500	33.3	ТМ 91.00-04	159	239	273
200	500	28.6	ТМ 91.00-05	219	239	273
250	500	33.9	ТМ 91.00-06	213	291	325
300	500	55.9	ТМ 91.00-07	325	382	426
350	500	73.8	ТМ 91.00-08	377	430	478
400	500	76.5	ТМ 91.00-09	426	484	530
500	500	94	ТМ 91.00-10	530	584	630
600	500	112.2	ТМ 91.00-11	630	672	720
700	500	133	ТМ 91.00-12	720	772	820
800	500	150.6	ТМ 91.00-13	820	872	920
900	500	166.1	ТМ 91.00-14	920	972	1020
1000	500	196.4	ТМ 91.00-15	1020	1070	1120
1200	500	232.7	ТМ 91.00-16	1220	1270	1320
1400	500	268	ТМ 91.00-17	1420	1470	1520
50	800	13	ТМ 92.00-00	57	89	114
80	800	16.1	ТМ 92.00-01	89	115	140
100	800	19.3	ТМ 92.00-02	108	140	165
125	800	33.6	ТМ 92.00-03	133	191	219
150	800	45.2	ТМ 92.00-04	159	239	273
200	800	40.5	ТМ 92.00-05	219	239	273
250	800	48.1	ТМ 92.00-06	213	291	325
300	800	74.5	ТМ 92.00-07	325	382	426
350	800	101.6	ТМ 92.00-08	377	430	478
400	800	103.5	ТМ 92.00-09	426	484	530
500	800	126.2	ТМ 92.00-10	530	584	630
600	800	154.4	ТМ 92.00-11	630	672	720
700	800	180.9	ТМ 92.00-12	720	772	820
800	800	204.6	ТМ 92.00-13	820	872	920
900	800	226.1	ТМ 92.00-14	920	972	1020
1000	800	270.4	ТМ 92.00-15	1020	1070	1120
1200	800	319.7	ТМ 92.00-16	1220	1270	1320
1400	500	369	ТМ 92.00-17	1420	1470	1520
